block,coef,se,t,p,ci_low,ci_high,control_post_mean,pct_of_control
night,-0.03121079281648516,0.01796281173421442,-1.7375226817657297,0.0822992990332343,-0.06641785829327329,0.003996272660302967,1.9381901333901672,-1.6103060416416985
morning,-0.038080840276445385,0.011186861440777442,-3.40406828832582,0.0006642690673113183,-0.06000706035005529,-0.01615462020283548,1.2505827524765498,-3.045047614884602
midday,-0.06458376871537336,0.02049898583358695,-3.150583606412121,0.001630123734949196,-0.1047617289996301,-0.02440580843111661,2.552971401014772,-2.5297490089274866
peak,-0.0909649069770641,0.017831743850656834,-5.101290582620914,3.3821315548188124e-07,-0.12591507973423827,-0.05601473421988993,2.3272076472462655,-3.908757651458429
evening,-0.09597438606953296,0.015960714269433865,-6.013163599659956,1.8282428904115022e-09,-0.12725734558916854,-0.06469142654989737,1.9653678874135627,-4.88327842762486
