block,tou_mean,std_mean,diff,std_diff,p
all day,9.169363292993518,9.767494233473945,-0.5981309404804271,-0.09157286201299639,0.013151597117648878
evening,1.8001006104427468,1.8686559893041688,-0.06855537886142193,-0.051448726928342854,0.168866234756971
midday,2.371201223916399,2.487529022554366,-0.11632779863796694,-0.06493706717900957,0.08150292775710703
morning,1.1721801210570613,1.2161057867105485,-0.04392566565348721,-0.04851187772613605,0.19678765157226802
night,1.5901588518768943,1.8786661182336093,-0.288507266356715,-0.17526213662195675,1.4250739940370687e-07
peak,2.2330654347782515,2.313312974669061,-0.08024753989080935,-0.051647276443811084,0.16818825184679712
