coef,se,t,p,ci_low,ci_high,decile,control_post_mean,pct_of_control
-0.20558200416271302,0.06789393354948002,-3.0279878247573935,0.002462765310526027,-0.3386539421482101,-0.07251006617721598,1,2.7492894874481015,-7.477641226989698
-0.32647826286316906,0.06933678731189222,-4.708586531340103,2.4991187332901177e-06,-0.46237819057257756,-0.19057833515376055,2,4.232768037545718,-7.713114915989364
-0.27275846997976005,0.095175526407774,-2.865846717896177,0.004160179739111092,-0.4593022609451509,-0.08621467901436919,3,5.376824042853735,-5.072854677888887
-0.4509732389943527,0.10031693450442399,-4.495484647953081,6.952149624206427e-06,-0.6475941768214277,-0.25435230116727764,4,6.498833534492971,-6.939295130438158
-0.3163309946233008,0.1029690414470807,-3.072098080915651,0.0021264045650666308,-0.518150055348159,-0.11451193389844255,5,7.428597289428689,-4.258287026454611
-0.38813859093425607,0.1505892157596389,-2.5774660487891685,0.009954767889420513,-0.6832930728328053,-0.09298410903570686,6,8.936983042837596,-4.343060617590895
0.051178584308796383,0.18278021196450617,0.2800006836557049,0.7794777978619891,-0.3070701687081519,0.4094273373257447,7,10.578498623741321,0.48379818468696784
-0.7187887189279334,0.21712011777512047,-3.3105578897686954,0.0009315668118152765,-1.144343600453809,-0.2932338374020577,8,12.454906727134318,-5.771128878564598
-0.6085407058341517,0.254909132626528,-2.3872848319080657,0.01697594104919209,-1.108161960862672,-0.10891945080563131,9,15.473551171012328,-3.93277987133408
-0.07701947135324196,0.4752767153187104,-0.16205185078674503,0.8712654845620014,-1.0085606309290012,0.8545216882225173,10,25.71698438198701,-0.29948873557347894
