coef,se,t,p,ci_low,ci_high,month
0.2731946438058214,0.2546374306602902,1.0728770043642493,0.2833299596346497,-0.22589407689885876,0.7722833645105016,2012-07-01
0.2951655824890214,0.2641347977864907,1.1174808656889426,0.26379256624201175,-0.22253795378612257,0.8128691187641655,2012-08-01
0.18906085917864815,0.23375072214613213,0.8088140111090414,0.4186248520742857,-0.2690899656124901,0.6472116839697863,2012-09-01
0.27328863760500244,0.17841902625819564,1.5317236246403345,0.12559511551371605,-0.07641220305174451,0.6229894782617493,2012-10-01
0.22793697165989787,0.1299106510274824,1.7545672341498633,0.07933768318629086,-0.02668757611020897,0.4825615194300047,2012-11-01
0.0,0.0,,,0.0,0.0,2012-12-01
-0.21293161554663298,0.12902553079823348,-1.6503060613609062,0.09888478642977105,-0.4658213299038351,0.039958098810569165,2013-01-01
-0.2591221994797649,0.14798554677431192,-1.750996669120289,0.07995081178084873,-0.5491734972440249,0.030929098284495082,2013-02-01
-0.2383431537849093,0.14436655602120602,-1.6509582298957042,0.09875153711866758,-0.5213012388171443,0.04461493124732571,2013-03-01
-0.24372297607630644,0.15855253516702125,-1.53717489171375,0.12425495344904536,-0.5544855443907878,0.0670395922381749,2013-04-01
-0.03736385020514843,0.21293686522910943,-0.17546914746277867,0.8607115129352829,-0.45471956802905683,0.37999186761875997,2013-05-01
0.05913117503757035,0.23944837890329737,0.2469474853344103,0.8049495817302059,-0.4101870426014075,0.5284493926765482,2013-06-01
0.10425547322194154,0.2675624253854477,0.38964915597454375,0.6967971695534789,-0.4201662044866108,0.6286771509304938,2013-07-01
0.2241295272937938,0.27457462595348686,0.8162790954025063,0.41434327259052184,-0.3140360458104682,0.7622951003980557,2013-08-01
-0.010088323125271546,0.24811798806375798,-0.04065937824177095,0.9675675608484631,-0.4963989528133497,0.4762223065628067,2013-09-01
-0.086025140851948,0.23031134520189056,-0.37351673134703156,0.7087650128495486,-0.5374347955226072,0.36538451381871123,2013-10-01
-0.35535533316165707,0.18548496117866747,-1.9158174921758901,0.05539235116726848,-0.7189053884091117,0.008194722085797579,2013-11-01
-0.30171630451686626,0.1820315830685985,-1.657494262427881,0.09742401595141592,-0.6584977473941969,0.05506513836046428,2013-12-01
