hh,grp,first_day,last_day,n_days_any,n_days_full,dropped
MAC002636,Std,2012-05-03,2014-02-27,664,638.0,0
MAC002661,Std,2012-05-04,2014-02-27,663,636.0,0
MAC002716,Std,2012-05-08,2014-02-27,659,634.0,0
MAC002789,Std,2012-06-27,2014-02-27,609,584.0,0
MAC002830,Std,2012-05-11,2014-02-27,656,631.0,0
MAC003033,Std,2012-05-15,2014-02-27,651,627.0,0
MAC003039,Std,2012-05-15,2014-02-27,651,623.0,0
MAC003200,Std,2012-09-14,2014-02-10,515,494.0,0
MAC003239,Std,2012-09-18,2014-02-27,528,509.0,0
MAC003243,Std,2012-09-18,2014-02-27,528,504.0,0
MAC003294,Std,2012-09-24,2014-02-27,522,500.0,0
MAC003384,Std,2012-09-27,2014-02-27,518,497.0,0
MAC003477,Std,2012-10-03,2014-02-27,513,492.0,0
MAC003518,Std,2012-10-05,2014-02-27,511,492.0,0
MAC003521,Std,2012-10-05,2014-02-27,511,491.0,0
MAC003729,Std,2012-10-18,2014-02-27,498,479.0,0
MAC003779,Std,2012-10-19,2014-02-27,497,477.0,0
MAC003885,Std,2012-10-25,2014-02-27,491,471.0,0
MAC003886,Std,2012-10-26,2014-02-27,490,471.0,0
MAC003971,Std,2012-07-06,2014-02-27,602,573.0,0
MAC004061,Std,2012-07-07,2013-12-04,516,495.0,0
MAC004098,Std,2012-05-18,2014-02-27,648,625.0,0
MAC004171,Std,2012-05-21,2014-02-27,648,622.0,0
MAC004275,Std,2012-05-24,2014-02-27,644,620.0,0
MAC004276,Std,2012-05-24,2014-02-27,645,619.0,0
MAC004299,Std,2012-05-24,2013-08-16,449,430.0,1
MAC004300,Std,2012-05-24,2014-02-27,645,619.0,0
MAC004371,Std,2012-03-16,2014-02-27,714,678.0,0
MAC004454,Std,2012-03-21,2014-02-27,709,684.0,0
MAC004526,Std,2011-12-20,2014-02-27,801,768.0,0
MAC004550,Std,2011-12-22,2014-02-27,799,770.0,0
MAC004651,Std,2012-07-12,2014-02-27,595,571.0,0
MAC004701,Std,2012-07-13,2014-02-27,593,568.0,0
MAC004742,Std,2012-04-02,2014-02-27,697,667.0,0
