hh,grp,first_day,last_day,n_days_any,n_days_full,dropped
MAC004719,ToU,2012-03-31,2014-02-27,699,668.0,0
MAC004948,ToU,2012-01-21,2014-02-27,769,739.0,0
MAC004952,ToU,2012-01-23,2014-02-27,767,740.0,0
MAC005085,ToU,2012-05-30,2014-02-27,638,616.0,0
MAC005474,ToU,2012-04-16,2014-02-27,682,657.0,0
MAC005549,ToU,2012-04-18,2014-02-27,678,654.0,0
MAC000004,Std,2012-05-08,2014-02-27,660,636.0,0
MAC000059,Std,2011-12-09,2014-02-27,812,780.0,0
MAC000090,Std,2011-12-12,2014-02-27,809,775.0,0
MAC000143,Std,2011-12-16,2014-02-27,805,774.0,0
MAC000205,Std,2011-11-29,2014-02-27,822,792.0,0
MAC000260,Std,2011-12-05,2014-02-27,816,786.0,0
MAC000348,Std,2012-03-09,2014-02-27,721,693.0,0
MAC000423,Std,2012-03-21,2014-02-27,709,682.0,0
MAC000455,Std,2012-03-23,2014-02-27,707,681.0,0
MAC000499,Std,2012-03-26,2014-02-27,704,677.0,0
MAC000562,Std,2012-04-11,2014-02-27,688,657.0,0
MAC000567,Std,2012-04-11,2013-03-06,330,317.0,1
MAC000637,Std,2012-04-13,2014-02-27,683,654.0,0
MAC000769,Std,2012-04-20,2014-02-27,676,652.0,0
MAC000774,Std,2012-04-20,2013-11-22,582,560.0,1
MAC001043,Std,2012-05-03,2014-02-27,664,637.0,0
MAC001076,Std,2012-05-08,2014-02-27,659,632.0,0
MAC001120,Std,2012-05-09,2014-02-27,657,628.0,0
MAC001153,Std,2012-05-09,2014-02-27,659,630.0,0
MAC001159,Std,2012-05-09,2014-02-27,660,633.0,0
MAC001276,Std,2012-05-14,2014-02-27,653,627.0,0
MAC001503,Std,2012-05-22,2014-02-27,647,620.0,0
MAC001588,Std,2012-05-25,2014-02-27,643,622.0,0
MAC001620,Std,2012-05-26,2014-02-27,642,620.0,0
MAC001787,Std,2012-06-06,2014-02-27,631,602.0,0
MAC001863,Std,2012-06-07,2014-02-27,629,604.0,0
MAC001972,Std,2012-06-12,2014-02-27,626,601.0,0
MAC002162,Std,2012-06-20,2014-02-27,618,594.0,0
MAC002204,Std,2012-06-26,2014-02-27,612,590.0,0
MAC002255,Std,2012-04-23,2014-02-27,673,646.0,0
MAC002375,Std,2012-04-28,2014-02-27,669,641.0,0
MAC002376,Std,2012-04-28,2014-02-27,671,645.0,0
MAC002434,Std,2012-04-30,2014-02-27,667,644.0,0
MAC002481,Std,2012-05-01,2014-02-27,667,644.0,0
MAC002582,Std,2012-07-10,2014-02-27,597,575.0,0
MAC002627,Std,2012-05-03,2014-02-27,666,643.0,0
MAC002772,Std,2012-05-10,2014-02-27,656,627.0,0
MAC002777,Std,2012-05-10,2014-02-27,659,633.0,0
MAC002821,Std,2012-05-11,2014-02-27,655,631.0,0
MAC002857,Std,2012-05-11,2014-02-27,656,630.0,0
MAC002980,Std,2012-07-05,2014-02-27,601,583.0,0
MAC003009,Std,2012-05-15,2013-04-25,346,331.0,1
MAC003051,Std,2012-05-15,2014-02-27,652,627.0,0
MAC003136,Std,2012-07-14,2014-02-27,594,570.0,0
MAC003169,Std,2012-09-12,2014-02-27,534,515.0,0
MAC003172,Std,2012-09-12,2014-02-27,534,513.0,0
MAC003356,Std,2012-09-26,2014-02-27,520,501.0,0
MAC003403,Std,2012-09-28,2014-02-27,518,498.0,0
MAC003449,Std,2012-10-02,2014-02-27,513,491.0,0
MAC003535,Std,2012-10-08,2014-02-27,508,490.0,0
MAC003591,Std,2012-10-10,2014-02-27,506,487.0,0
MAC003632,Std,2012-10-12,2014-02-27,504,482.0,0
MAC003834,Std,2012-10-23,2014-02-27,493,476.0,0
MAC003901,Std,2012-10-26,2014-02-27,490,473.0,0
MAC004017,Std,2012-07-06,2014-02-27,602,580.0,0
MAC004119,Std,2012-05-19,2013-03-11,294,284.0,1
MAC004163,Std,2012-05-21,2014-02-27,648,625.0,0
MAC004321,Std,2012-05-25,2014-02-27,644,616.0,0
MAC004393,Std,2012-03-17,2014-02-27,712,684.0,0
MAC004428,Std,2012-03-19,2014-02-27,711,687.0,0
MAC004539,Std,2011-12-21,2014-02-27,800,772.0,0
MAC004562,Std,2011-12-22,2014-02-27,799,771.0,0
MAC004627,Std,2012-07-11,2014-02-27,597,574.0,0
MAC004654,Std,2012-07-12,2014-02-27,596,574.0,0
MAC004704,Std,2012-07-13,2013-09-05,420,400.0,1
MAC004737,Std,2012-04-02,2014-02-27,695,669.0,0
MAC004777,Std,2012-04-03,2014-02-27,693,663.0,0
MAC004852,Std,2011-12-29,2014-02-27,792,761.0,0
MAC004963,Std,2012-01-23,2014-02-27,767,740.0,0
MAC005032,Std,2012-01-31,2014-02-27,759,729.0,0
MAC005065,Std,2012-05-29,2014-02-16,628,604.0,0
MAC005066,Std,2012-05-29,2014-02-27,638,613.0,0
MAC005235,Std,2012-02-06,2014-02-13,739,712.0,0
MAC005236,Std,2012-02-06,2014-02-27,753,726.0,0
MAC005268,Std,2012-02-09,2014-02-27,750,723.0,0
MAC005375,Std,2012-02-23,2014-02-27,736,708.0,0
MAC005376,Std,2012-02-23,2014-02-27,736,709.0,0
MAC005389,Std,2012-02-25,2014-02-27,734,707.0,0
MAC005440,Std,2012-04-16,2014-02-27,683,653.0,0
MAC005543,Std,2012-04-18,2014-02-27,678,650.0,0
MAC000046,ToU,2011-12-08,2014-02-27,813,782.0,0
MAC000186,ToU,2011-11-28,2014-02-27,823,785.0,0
MAC000366,ToU,2012-03-12,2014-02-27,718,690.0,0
MAC000708,ToU,2012-04-19,2014-02-27,678,651.0,0
MAC000857,ToU,2012-04-26,2014-02-27,671,644.0,0
MAC001013,ToU,2012-05-02,2014-02-27,666,643.0,0
MAC001626,ToU,2012-05-26,2014-02-27,642,620.0,0
MAC001767,ToU,2012-06-06,2014-02-27,630,606.0,0
MAC001773,ToU,2012-06-06,2014-02-27,629,606.0,0
MAC002444,ToU,2012-04-30,2014-02-27,667,634.0,0
MAC002811,ToU,2012-05-10,2014-02-27,656,629.0,0
MAC003379,ToU,2012-09-27,2014-02-27,519,500.0,0
MAC003892,ToU,2012-10-26,2014-02-27,490,468.0,0
MAC003897,ToU,2012-10-26,2014-02-27,490,472.0,0
MAC004012,ToU,2012-07-06,2014-02-27,602,578.0,0
MAC004184,ToU,2012-05-21,2014-02-27,647,618.0,0
MAC004399,ToU,2012-03-19,2014-02-27,711,683.0,0
MAC004400,ToU,2012-03-19,2014-02-27,711,686.0,0
MAC004670,ToU,2012-07-12,2014-02-27,596,575.0,0
MAC005080,ToU,2012-05-30,2014-02-27,637,615.0,0
MAC005146,ToU,2012-05-31,2014-02-27,637,613.0,0
MAC000095,Std,2011-12-12,2013-09-29,658,631.0,1
MAC000096,Std,2011-12-12,2014-02-27,809,778.0,0
MAC000301,Std,2012-03-03,2014-02-27,727,702.0,0
MAC000360,Std,2012-03-10,2014-02-27,720,692.0,0
MAC000404,Std,2012-03-14,2014-02-27,716,688.0,0
MAC000450,Std,2012-03-22,2013-05-14,418,398.0,1
MAC000558,Std,2012-04-12,2014-02-27,684,654.0,0
MAC000644,Std,2012-04-13,2014-02-27,685,660.0,0
MAC000678,Std,2012-04-18,2014-02-27,679,655.0,0
MAC000718,Std,2012-04-19,2014-02-27,626,603.0,0
MAC000753,Std,2012-04-20,2014-02-27,676,649.0,0
MAC000784,Std,2012-04-20,2014-02-27,677,652.0,0
MAC000825,Std,2012-04-25,2014-02-27,673,645.0,0
MAC000826,Std,2012-04-25,2014-02-27,673,645.0,0
MAC000862,Std,2012-04-26,2014-02-27,671,645.0,0
MAC000948,Std,2012-05-01,2014-02-27,667,639.0,0
MAC001063,Std,2012-05-08,2014-02-27,659,633.0,0
MAC001134,Std,2012-05-09,2013-02-26,291,276.0,1
MAC001205,Std,2012-05-12,2014-02-27,657,628.0,0
MAC001242,Std,2012-05-14,2014-02-27,654,628.0,0
MAC001301,Std,2012-05-14,2014-02-27,654,626.0,0
MAC001324,Std,2012-05-16,2014-02-27,651,621.0,0
MAC001381,Std,2012-05-17,2014-02-22,574,554.0,0
MAC001427,Std,2012-05-18,2012-12-21,215,206.0,1
MAC001450,Std,2012-05-21,2014-02-27,648,625.0,0
MAC001677,Std,2012-05-29,2014-02-27,637,609.0,0
MAC001681,Std,2012-05-29,2014-02-27,637,611.0,0
MAC001722,Std,2012-06-01,2014-02-27,634,611.0,0
MAC001753,Std,2012-06-02,2014-02-27,635,612.0,0
MAC001802,Std,2012-06-06,2014-02-27,626,597.0,0
MAC001807,Std,2012-06-06,2014-02-27,630,602.0,0
MAC001845,Std,2012-06-07,2014-02-27,629,606.0,0
MAC001890,Std,2012-06-08,2014-02-27,628,604.0,0
MAC001949,Std,2012-06-11,2014-02-27,626,602.0,0
MAC002020,Std,2012-06-13,2014-02-27,624,599.0,0
MAC002025,Std,2012-06-14,2014-02-27,622,599.0,0
MAC002256,Std,2012-04-23,2014-02-27,671,643.0,0
MAC002332,Std,2012-04-24,2014-01-07,624,600.0,0
MAC002337,Std,2012-04-24,2013-11-22,576,551.0,1
MAC002367,Std,2012-04-27,2014-02-27,672,641.0,0
MAC002460,Std,2012-04-30,2014-02-27,668,638.0,0
MAC002465,Std,2012-05-01,2014-02-13,653,628.0,0
MAC002543,Std,2012-07-09,2014-02-27,599,576.0,0
MAC002575,Std,2012-07-10,2014-02-27,598,575.0,0
MAC002576,Std,2012-07-10,2014-02-27,598,577.0,0
MAC002650,Std,2012-05-04,2013-09-19,500,479.0,1
MAC002683,Std,2012-05-04,2014-02-27,663,636.0,0
MAC002733,Std,2012-05-08,2014-02-27,659,633.0,0
MAC002846,Std,2012-05-11,2014-02-27,655,629.0,0
MAC002877,Std,2012-06-30,2014-02-27,603,578.0,0
MAC002952,Std,2012-07-03,2014-02-27,604,464.0,0
MAC003012,Std,2012-05-15,2014-02-27,653,630.0,0
MAC003122,Std,2012-05-17,2014-02-27,651,627.0,0
MAC003127,Std,2012-05-16,2014-02-27,653,629.0,0
MAC003163,Std,2012-07-30,2014-02-27,578,548.0,0
MAC003194,Std,2012-09-14,2014-02-27,531,512.0,0
MAC003313,Std,2012-09-24,2014-02-27,522,501.0,0
MAC003373,Std,2012-09-27,2014-02-27,518,495.0,0
MAC003498,Std,2012-10-04,2014-02-27,512,490.0,0
MAC003551,Std,2012-10-08,2014-02-27,508,489.0,0
MAC003618,Std,2012-10-11,2014-02-27,505,485.0,0
MAC003620,Std,2012-10-11,2014-02-27,505,484.0,0
MAC003754,Std,2012-10-19,2014-02-27,497,479.0,0
MAC003840,Std,2012-10-23,2014-02-27,493,468.0,0
MAC003961,Std,2012-07-06,2014-02-27,601,573.0,0
MAC004002,Std,2012-07-06,2014-02-27,602,579.0,0
MAC004387,Std,2012-03-16,2014-02-27,714,685.0,0
MAC004462,Std,2011-12-17,2014-02-27,804,774.0,0
MAC004533,Std,2011-12-21,2014-02-27,800,768.0,0
MAC004579,Std,2011-12-28,2014-02-27,793,759.0,0
MAC004581,Std,2011-12-28,2014-02-27,793,757.0,0
MAC004732,Std,2012-04-02,2014-02-27,697,669.0,0
MAC004889,Std,2012-01-12,2014-02-27,778,748.0,0
MAC004890,Std,2012-01-12,2014-02-27,778,741.0,0
MAC004909,Std,2012-01-18,2014-02-27,772,737.0,0
MAC005060,Std,2012-05-29,2014-02-27,639,615.0,0
MAC005094,Std,2012-05-30,2013-02-26,271,260.0,1
MAC005140,Std,2012-05-31,2014-02-27,637,605.0,0
MAC005169,Std,2012-06-01,2014-02-27,635,609.0,0
MAC005170,Std,2012-06-01,2014-02-27,635,612.0,0
MAC005175,Std,2012-06-01,2013-07-11,405,387.0,1
MAC005257,Std,2012-02-08,2014-02-27,751,723.0,0
MAC005383,Std,2012-02-24,2014-02-27,735,705.0,0
MAC005446,Std,2012-04-16,2014-02-27,683,656.0,0
MAC005562,Std,2012-05-07,2014-02-27,660,635.0,0
MAC005567,Std,2012-12-19,2014-02-27,436,417.0,0
MAC000088,ToU,2011-12-12,2014-02-27,809,771.0,0
MAC000106,ToU,2011-12-13,2014-02-27,808,779.0,0
MAC000198,ToU,2011-11-28,2014-02-27,823,788.0,0
MAC000791,ToU,2012-04-20,2014-02-19,669,646.0,0
MAC000877,ToU,2012-04-27,2014-02-27,672,645.0,0
MAC000884,ToU,2012-04-27,2014-02-27,671,647.0,0
MAC001254,ToU,2012-05-14,2014-02-27,655,629.0,0
MAC001270,ToU,2012-05-14,2014-02-27,652,624.0,0
MAC001437,ToU,2012-05-18,2014-02-21,643,618.0,0
MAC001509,ToU,2012-05-22,2014-02-27,646,623.0,0
MAC001910,ToU,2012-06-09,2013-01-13,218,209.0,1
MAC002845,ToU,2012-05-11,2014-02-27,656,631.0,0
MAC003043,ToU,2012-05-15,2014-02-27,652,626.0,0
MAC003820,ToU,2012-10-23,2014-02-27,491,466.0,0
MAC004155,ToU,2012-05-21,2014-02-27,647,616.0,0
MAC004449,ToU,2012-03-20,2014-02-27,710,686.0,0
MAC004451,ToU,2012-03-21,2014-02-27,706,679.0,0
MAC004622,ToU,2012-07-11,2014-02-27,597,574.0,0
MAC004818,ToU,2012-04-05,2014-02-27,694,669.0,0
MAC005445,ToU,2012-04-16,2014-02-27,683,659.0,0
MAC005507,ToU,2012-04-17,2014-02-27,681,657.0,0
MAC005514,ToU,2012-04-17,2014-02-27,681,657.0,0
MAC000040,Std,2011-12-08,2014-02-27,813,784.0,0
MAC000153,Std,2011-11-23,2014-02-27,828,793.0,0
MAC000180,Std,2011-11-26,2014-02-27,825,794.0,0
MAC000274,Std,2011-12-06,2014-02-27,815,777.0,0
MAC000310,Std,2012-03-05,2014-02-27,724,694.0,0
MAC000462,Std,2012-03-24,2014-02-27,706,682.0,0
MAC000570,Std,2012-04-11,2014-02-27,685,657.0,0
MAC000748,Std,2012-04-20,2014-02-27,677,650.0,0
MAC000846,Std,2012-04-26,2014-02-27,672,646.0,0
MAC000975,Std,2012-05-02,2014-02-27,665,637.0,0
MAC001019,Std,2012-05-02,2014-02-27,663,638.0,0
MAC001022,Std,2012-05-02,2014-02-27,666,639.0,0
MAC001094,Std,2012-05-08,2014-02-27,659,636.0,0
MAC001183,Std,2012-05-09,2014-02-27,657,631.0,0
MAC001221,Std,2012-05-14,2014-02-27,653,630.0,0
MAC001367,Std,2012-05-17,2014-02-27,652,630.0,0
MAC001456,Std,2012-05-21,2013-07-22,426,411.0,1
MAC001485,Std,2012-05-22,2014-02-27,647,624.0,0
MAC001486,Std,2012-05-22,2014-02-27,647,618.0,0
MAC001514,Std,2012-05-22,2014-02-27,647,622.0,0
MAC001646,Std,2012-05-28,2014-02-27,640,617.0,0
MAC001697,Std,2012-05-29,2014-02-27,640,614.0,0
MAC001735,Std,2012-06-01,2014-02-27,637,611.0,0
MAC001779,Std,2012-06-06,2014-02-27,631,605.0,0
MAC001869,Std,2012-06-08,2014-02-27,630,607.0,0
MAC001871,Std,2012-06-08,2014-02-27,628,605.0,0
MAC002012,Std,2012-06-14,2014-02-27,624,601.0,0
MAC002266,Std,2012-04-23,2014-02-27,676,649.0,0
MAC002451,Std,2012-04-30,2013-11-05,554,533.0,1
MAC002535,Std,2012-07-09,2014-02-27,598,574.0,0
MAC002655,Std,2012-05-04,2014-02-27,664,638.0,0
MAC002656,Std,2012-05-04,2014-02-27,663,637.0,0
MAC002934,Std,2012-07-02,2014-02-27,604,583.0,0
MAC003027,Std,2012-05-15,2014-02-27,654,628.0,0
MAC003107,Std,2012-05-17,2014-02-27,650,627.0,0
MAC003291,Std,2012-09-24,2014-02-27,521,502.0,0
MAC003412,Std,2012-10-01,2014-02-27,515,493.0,0
MAC003417,Std,2012-10-01,2014-02-27,515,497.0,0
MAC003512,Std,2012-10-05,2014-02-27,511,493.0,0
MAC003517,Std,2012-10-05,2014-02-27,509,484.0,0
MAC003641,Std,2012-10-12,2014-02-27,504,486.0,0
MAC003673,Std,2012-10-15,2014-02-27,501,482.0,0
MAC003714,Std,2012-10-17,2014-02-27,498,478.0,0
MAC003825,Std,2012-10-23,2014-02-27,493,476.0,0
MAC003826,Std,2012-10-23,2014-02-27,493,475.0,0
MAC003874,Std,2012-10-25,2014-02-27,490,472.0,0
MAC003921,Std,2012-10-26,2014-02-27,490,471.0,0
MAC004029,Std,2012-07-06,2014-02-27,602,580.0,0
MAC004030,Std,2012-07-06,2014-02-27,602,580.0,0
MAC004074,Std,2012-05-18,2014-02-27,650,627.0,0
MAC004113,Std,2012-05-19,2014-02-27,650,622.0,0
MAC004150,Std,2012-05-21,2014-02-27,645,620.0,0
MAC004156,Std,2012-05-21,2014-02-27,646,605.0,0
MAC004192,Std,2012-05-21,2014-02-27,647,620.0,0
MAC004431,Std,2012-03-20,2014-02-27,709,675.0,0
MAC004519,Std,2011-12-20,2014-02-27,801,775.0,0
MAC004567,Std,2011-12-23,2014-02-27,798,766.0,0
MAC004595,Std,2012-07-11,2014-02-27,596,572.0,0
MAC004596,Std,2012-07-11,2014-01-30,569,547.0,0
MAC004772,Std,2012-04-03,2014-02-27,693,663.0,0
MAC004801,Std,2012-04-04,2014-02-27,694,668.0,0
MAC004857,Std,2011-12-29,2014-02-27,792,763.0,0
MAC005211,Std,2012-02-03,2014-02-27,756,726.0,0
MAC005245,Std,2012-02-07,2014-02-27,752,722.0,0
MAC005246,Std,2012-02-07,2014-02-27,752,721.0,0
MAC005327,Std,2012-02-20,2014-02-27,739,708.0,0
MAC000521,ToU,2012-03-27,2014-02-27,702,667.0,0
MAC000617,ToU,2012-04-12,2014-02-27,685,658.0,0
MAC000683,ToU,2012-04-18,2014-02-27,679,651.0,0
MAC000759,ToU,2012-04-20,2014-02-27,676,650.0,0
MAC001645,ToU,2012-05-28,2014-02-27,640,618.0,0
MAC002167,ToU,2012-06-20,2014-02-27,618,596.0,0
MAC002318,ToU,2012-04-24,2014-02-27,673,648.0,0
MAC002324,ToU,2012-04-24,2014-02-27,675,649.0,0
MAC002604,ToU,2012-07-10,2014-02-27,598,576.0,0
MAC003951,ToU,2012-07-05,2014-02-27,602,580.0,0
MAC004641,ToU,2012-07-12,2014-02-27,596,573.0,0
MAC004713,ToU,2012-07-14,2014-02-27,591,567.0,0
MAC004883,ToU,2012-01-10,2013-05-15,492,474.0,1
MAC004988,ToU,2012-01-26,2014-02-27,764,738.0,0
MAC005368,ToU,2012-02-23,2014-02-27,736,708.0,0
MAC000010,Std,2012-09-24,2014-02-27,522,503.0,0
MAC000077,Std,2011-12-10,2014-02-27,811,781.0,0
MAC000100,Std,2011-12-12,2014-02-27,809,780.0,0
MAC000149,Std,2011-11-23,2014-02-27,828,792.0,0
MAC000214,Std,2011-11-30,2014-02-27,821,791.0,0
MAC000315,Std,2012-03-06,2014-02-27,694,666.0,0
MAC000316,Std,2012-03-06,2014-02-27,724,696.0,0
MAC000442,Std,2012-03-22,2014-02-27,708,680.0,0
MAC000519,Std,2012-03-27,2014-02-27,701,676.0,0
MAC000632,Std,2012-04-13,2014-02-27,686,662.0,0
MAC000668,Std,2012-04-18,2013-09-03,500,482.0,1
MAC000818,Std,2012-04-25,2014-01-17,633,609.0,0
MAC000820,Std,2012-04-25,2014-02-27,672,648.0,0
MAC000867,Std,2012-04-26,2014-02-27,672,648.0,0
MAC000911,Std,2012-04-27,2014-02-27,669,646.0,0
MAC000964,Std,2012-05-01,2014-02-13,652,627.0,0
MAC001049,Std,2012-05-03,2014-02-27,665,637.0,0
MAC001054,Std,2012-05-03,2014-02-27,664,638.0,0
MAC001125,Std,2012-05-08,2014-02-27,660,627.0,0
MAC001126,Std,2012-05-09,2014-02-27,657,632.0,0
MAC001168,Std,2012-05-09,2014-02-27,658,633.0,0
MAC001200,Std,2012-05-11,2014-02-27,658,629.0,0
MAC001521,Std,2012-05-22,2014-02-27,643,621.0,0
MAC001551,Std,2012-05-22,2014-02-27,645,622.0,0
MAC001593,Std,2012-05-25,2014-02-27,641,616.0,0
MAC001640,Std,2012-05-28,2014-02-27,641,615.0,0
MAC001795,Std,2012-06-06,2014-02-27,630,604.0,0
MAC001796,Std,2012-06-06,2014-02-27,630,604.0,0
MAC001977,Std,2012-06-12,2014-02-27,624,599.0,0
MAC002026,Std,2012-06-14,2014-02-27,624,598.0,0
MAC002031,Std,2012-06-13,2013-08-26,439,421.0,1
MAC002115,Std,2012-06-18,2014-02-27,620,597.0,0
MAC002135,Std,2012-06-18,2014-02-27,620,598.0,0
MAC002136,Std,2012-06-18,2014-02-27,620,591.0,0
MAC002180,Std,2012-06-22,2014-02-27,616,591.0,0
MAC002185,Std,2012-06-23,2014-02-27,615,595.0,0
MAC002244,Std,2012-04-23,2014-02-27,676,650.0,0
MAC002294,Std,2012-04-24,2014-02-27,597,573.0,0
MAC002349,Std,2012-04-25,2014-02-27,674,645.0,0
MAC002352,Std,2012-04-25,2013-07-31,463,445.0,1
MAC002382,Std,2012-04-28,2013-01-29,275,263.0,1
MAC002427,Std,2012-04-30,2014-02-27,666,642.0,0
MAC002525,Std,2012-07-09,2014-02-27,599,576.0,0
MAC002526,Std,2012-07-09,2014-02-27,598,575.0,0
MAC002570,Std,2012-07-10,2014-02-27,597,573.0,0
MAC002754,Std,2012-05-10,2014-02-27,657,631.0,0
MAC002912,Std,2012-07-02,2014-02-27,603,581.0,0
MAC002996,Std,2012-07-04,2014-02-27,604,581.0,0
MAC003335,Std,2012-09-25,2014-02-27,520,502.0,0
MAC003336,Std,2012-09-25,2013-08-15,324,313.0,1
MAC003478,Std,2012-10-03,2014-02-27,512,491.0,0
MAC003602,Std,2012-10-11,2014-02-27,505,485.0,0
MAC003731,Std,2012-10-18,2014-02-27,498,478.0,0
MAC003781,Std,2012-10-19,2014-02-27,497,476.0,0
MAC003974,Std,2012-07-06,2014-02-27,602,578.0,0
MAC004097,Std,2012-05-18,2014-02-27,649,623.0,0
MAC004139,Std,2012-05-21,2014-02-27,647,622.0,0
MAC004169,Std,2012-05-21,2014-02-27,648,624.0,0
MAC004203,Std,2012-05-23,2014-02-27,645,621.0,0
MAC004244,Std,2012-05-23,2014-02-27,644,620.0,0
MAC004340,Std,2012-03-15,2014-02-27,715,688.0,0
MAC004473,Std,2011-12-17,2014-02-27,804,775.0,0
MAC004573,Std,2011-12-23,2014-02-27,798,767.0,0
MAC004614,Std,2012-07-11,2014-02-27,596,570.0,0
MAC004781,Std,2012-04-04,2014-02-19,685,656.0,0
MAC004896,Std,2012-01-16,2014-02-27,671,629.0,0
MAC004924,Std,2012-01-20,2014-02-27,768,739.0,0
MAC004978,Std,2012-01-25,2014-02-27,765,736.0,0
MAC005014,Std,2012-01-30,2014-02-27,760,732.0,0
MAC005461,Std,2012-04-16,2014-02-27,683,657.0,0
MAC000845,ToU,2012-04-26,2014-02-27,673,648.0,0
MAC000976,ToU,2012-05-02,2014-02-27,666,638.0,0
MAC001660,ToU,2012-05-28,2014-02-27,640,614.0,0
MAC001840,ToU,2012-06-07,2014-02-27,629,607.0,0
MAC002238,ToU,2012-04-21,2014-02-27,677,653.0,0
MAC002357,ToU,2012-04-27,2014-02-27,671,642.0,0
MAC002797,ToU,2012-05-10,2014-02-27,657,630.0,0
MAC002971,ToU,2012-07-05,2014-02-27,603,580.0,0
MAC003157,ToU,2012-07-14,2014-02-27,594,568.0,0
MAC004035,ToU,2012-07-06,2014-02-27,602,578.0,0
MAC004239,ToU,2012-05-23,2014-02-27,645,616.0,0
MAC004374,ToU,2012-03-16,2014-02-27,714,688.0,0
MAC004467,ToU,2011-12-17,2014-02-27,804,776.0,0
MAC004969,ToU,2012-01-24,2014-02-27,766,737.0,0
MAC005111,ToU,2012-05-30,2013-08-07,433,414.0,1
MAC005122,ToU,2012-05-31,2014-02-27,636,611.0,0
MAC005240,ToU,2012-02-06,2014-02-27,753,726.0,0
MAC005401,ToU,2012-02-27,2014-02-27,732,703.0,0
MAC005429,ToU,2012-04-14,2014-02-27,683,656.0,0
MAC000045,Std,2011-12-08,2014-02-27,813,783.0,0
MAC000105,Std,2011-12-13,2014-02-11,792,763.0,0
MAC000134,Std,2011-12-15,2013-01-14,397,381.0,1
MAC000159,Std,2011-11-24,2014-02-27,827,793.0,0
MAC000185,Std,2011-11-26,2014-02-27,824,790.0,0
MAC000324,Std,2012-03-06,2014-02-27,724,698.0,0
MAC000351,Std,2012-03-09,2014-02-27,721,691.0,0
MAC000389,Std,2012-03-13,2014-02-27,716,692.0,0
MAC000429,Std,2012-03-21,2014-02-27,703,678.0,0
MAC000473,Std,2012-03-23,2014-02-27,707,681.0,0
MAC001037,Std,2012-05-03,2014-02-27,665,635.0,0
MAC001113,Std,2012-05-08,2014-02-27,661,635.0,0
MAC001119,Std,2012-05-08,2014-02-27,659,632.0,0
MAC001189,Std,2012-05-11,2014-02-27,656,629.0,0
MAC001275,Std,2012-05-14,2014-02-27,655,629.0,0
MAC001334,Std,2012-05-17,2014-02-27,652,629.0,0
MAC001371,Std,2012-05-17,2014-02-27,652,629.0,0
MAC001409,Std,2012-05-18,2014-02-27,647,620.0,0
MAC001411,Std,2012-05-18,2014-02-27,651,626.0,0
MAC001618,Std,2012-05-26,2014-02-27,642,616.0,0
MAC001692,Std,2012-05-29,2014-02-27,638,615.0,0
MAC001759,Std,2012-06-02,2014-02-27,636,610.0,0
MAC001762,Std,2012-06-02,2013-11-22,537,518.0,1
MAC001790,Std,2012-06-06,2014-02-27,629,605.0,0
MAC001818,Std,2012-06-07,2014-02-27,630,602.0,0
MAC001884,Std,2012-06-08,2014-02-27,629,607.0,0
MAC001921,Std,2012-06-09,2013-03-24,285,272.0,1
MAC001997,Std,2012-06-12,2014-02-27,624,600.0,0
MAC002088,Std,2012-06-15,2014-02-27,622,598.0,0
MAC002128,Std,2012-06-18,2014-02-27,620,595.0,0
MAC002130,Std,2012-06-18,2014-02-27,620,595.0,0
MAC002260,Std,2012-04-23,2013-10-13,510,479.0,1
MAC002387,Std,2012-04-30,2014-02-27,668,638.0,0
MAC002422,Std,2012-04-30,2014-02-27,668,645.0,0
MAC002530,Std,2012-07-09,2014-02-27,599,577.0,0
MAC002697,Std,2012-05-05,2014-02-27,662,638.0,0
MAC002852,Std,2012-05-11,2014-02-16,646,619.0,0
MAC002882,Std,2012-06-30,2014-02-27,606,582.0,0
MAC002917,Std,2012-07-02,2014-02-27,604,580.0,0
MAC003022,Std,2012-05-15,2012-12-25,224,211.0,1
MAC003087,Std,2012-05-16,2014-02-27,652,628.0,0
MAC003149,Std,2012-07-14,2014-02-27,593,570.0,0
MAC003152,Std,2012-07-14,2014-02-27,594,569.0,0
MAC003181,Std,2012-09-13,2014-02-27,533,511.0,0
MAC003307,Std,2012-09-24,2014-02-27,522,501.0,0
MAC003453,Std,2012-10-02,2014-02-27,514,494.0,0
MAC003691,Std,2012-10-16,2014-02-27,500,476.0,0
MAC003765,Std,2012-10-19,2014-02-27,497,478.0,0
MAC003801,Std,2012-10-22,2014-02-27,493,473.0,0
MAC003853,Std,2012-10-24,2014-02-27,492,470.0,0
MAC003941,Std,2012-07-05,2014-02-27,603,579.0,0
MAC004023,Std,2012-07-06,2014-02-27,602,581.0,0
MAC004224,Std,2012-05-23,2014-02-27,646,621.0,0
MAC004479,Std,2011-12-19,2014-02-27,735,709.0,0
MAC004503,Std,2011-12-19,2014-02-27,802,766.0,0
MAC004600,Std,2012-07-11,2014-02-27,596,568.0,0
MAC004864,Std,2011-12-30,2014-02-27,791,759.0,0
MAC005020,Std,2012-01-30,2014-02-27,760,724.0,0
MAC005025,Std,2012-01-31,2014-02-27,759,733.0,0
MAC005026,Std,2012-01-31,2014-02-27,759,730.0,0
MAC005163,Std,2012-05-31,2014-02-27,636,609.0,0
MAC005230,Std,2012-02-06,2014-02-27,697,665.0,0
